size,type,task,accuracy,batch
1.3b,continued_pretraining,winogrande,0.5153906866614049,41400
1.3b,continued_pretraining,arc_easy,0.494949494949495,21600
1.3b,continued_pretraining,piqa,0.6610446137105549,21600
1.3b,continued_pretraining,sciq,0.824,21600
1.3b,continued_pretraining,winogrande,0.5043409629044988,21600
1.3b,continued_pretraining,arc_easy,0.5046296296296297,45000
1.3b,continued_pretraining,piqa,0.6632208922742111,45000
1.3b,continued_pretraining,sciq,0.841,45000
1.3b,continued_pretraining,winogrande,0.5185477505919495,45000
1.3b,continued_pretraining,arc_easy,0.5,28800
1.3b,continued_pretraining,piqa,0.6692056583242655,28800
1.3b,continued_pretraining,sciq,0.825,28800
1.3b,continued_pretraining,winogrande,0.5074980268350434,28800
7b,original,arc_easy,0.7634680134680135,0
7b,original,piqa,0.780739934711643,0
7b,original,sciq,0.94,0
7b,original,winogrande,0.6906077348066298,0
7b,pruned,arc_easy,0.3122895622895623,0
7b,pruned,piqa,0.5642002176278563,0
7b,pruned,sciq,0.669,0
7b,pruned,winogrande,0.494869771112865,0
7b,continued_pretraining,arc_easy,0.48274410774410775,30600
7b,continued_pretraining,piqa,0.6561479869423286,30600
7b,continued_pretraining,sciq,0.818,30600
7b,continued_pretraining,winogrande,0.5201262825572218,30600
7b,continued_pretraining,arc_easy,0.4503367003367003,9000
7b,continued_pretraining,piqa,0.6501632208922742,9000
7b,continued_pretraining,sciq,0.787,9000
7b,continued_pretraining,winogrande,0.500394632991318,9000
7b,continued_pretraining,arc_easy,0.4532828282828283,12600
7b,continued_pretraining,piqa,0.6588683351468988,12600
7b,continued_pretraining,sciq,0.785,12600
7b,continued_pretraining,winogrande,0.5114443567482242,12600
7b,continued_pretraining,arc_easy,0.492003367003367,28800
7b,continued_pretraining,piqa,0.6479869423286181,28800
7b,continued_pretraining,sciq,0.82,28800
7b,continued_pretraining,winogrande,0.5288082083662194,28800
7b,continued_pretraining,arc_easy,0.4797979797979798,19800
7b,continued_pretraining,piqa,0.6528835690968444,19800
7b,continued_pretraining,sciq,0.809,19800
7b,continued_pretraining,winogrande,0.5201262825572218,19800
7b,continued_pretraining,arc_easy,0.48063973063973064,27000
7b,continued_pretraining,piqa,0.6566920565832427,27000
7b,continued_pretraining,sciq,0.819,27000
7b,continued_pretraining,winogrande,0.5272296764009471,27000
7b,continued_pretraining,arc_easy,0.46254208754208753,14400
7b,continued_pretraining,piqa,0.6528835690968444,14400
7b,continued_pretraining,sciq,0.801,14400
7b,continued_pretraining,winogrande,0.5114443567482242,14400
7b,continued_pretraining,arc_easy,0.48358585858585856,37800
7b,continued_pretraining,piqa,0.6517954298150164,37800
7b,continued_pretraining,sciq,0.824,37800
7b,continued_pretraining,winogrande,0.526440410418311,37800
7b,continued_pretraining,arc_easy,0.40824915824915825,5400
7b,continued_pretraining,piqa,0.6414581066376496,5400
7b,continued_pretraining,sciq,0.755,5400
7b,continued_pretraining,winogrande,0.4964483030781373,5400
7b,continued_pretraining,arc_easy,0.4730639730639731,18000
7b,continued_pretraining,piqa,0.6594124047878128,18000
7b,continued_pretraining,sciq,0.801,18000
7b,continued_pretraining,winogrande,0.526440410418311,18000
7b,continued_pretraining,arc_easy,0.4797979797979798,23400
7b,continued_pretraining,piqa,0.6452665941240479,23400
7b,continued_pretraining,sciq,0.815,23400
7b,continued_pretraining,winogrande,0.5240726124704025,23400
7b,continued_pretraining,arc_easy,0.4364478114478115,7200
7b,continued_pretraining,piqa,0.6479869423286181,7200
7b,continued_pretraining,sciq,0.762,7200
7b,continued_pretraining,winogrande,0.5043409629044988,7200
7b,continued_pretraining,arc_easy,0.49326599326599324,41400
7b,continued_pretraining,piqa,0.6528835690968444,41400
7b,continued_pretraining,sciq,0.82,41400
7b,continued_pretraining,winogrande,0.5256511444356748,41400
7b,continued_pretraining,arc_easy,0.4890572390572391,45000
7b,continued_pretraining,piqa,0.6490750816104461,45000
7b,continued_pretraining,sciq,0.822,45000
7b,continued_pretraining,winogrande,0.5217048145224941,45000
7b,continued_pretraining,arc_easy,0.4810606060606061,32400
7b,continued_pretraining,piqa,0.6577801958650707,32400
7b,continued_pretraining,sciq,0.825,32400
7b,continued_pretraining,winogrande,0.5138121546961326,32400
7b,continued_pretraining,arc_easy,0.41119528619528617,3600
7b,continued_pretraining,piqa,0.6262241566920566,3600
7b,continued_pretraining,sciq,0.744,3600
7b,continued_pretraining,winogrande,0.5098658247829518,3600
7b,continued_pretraining,arc_easy,0.4692760942760943,16200
7b,continued_pretraining,piqa,0.6583242655059848,16200
7b,continued_pretraining,sciq,0.812,16200
7b,continued_pretraining,winogrande,0.5248618784530387,16200
7b,continued_pretraining,arc_easy,0.4823232323232323,25200
7b,continued_pretraining,piqa,0.6539717083786725,25200
7b,continued_pretraining,sciq,0.812,25200
